arrival_tasks,completed_tasks,dropped_tasks,effective_bits,energy_srv,energy_tx,handover,queue_mean,slot,solve_time_s,total_cost
3,3,0,6442449.962998573,4.8000000000000005e-12,0.6060710156193126,0,0.0,0,0.0002694129943847656,0.6060710156241127
3,3,0,4732248.821416665,4.8000000000000005e-12,0.36578832096333685,0,0.0,1,0.00014257431030273438,0.36578832096813685
3,3,0,5035855.073518626,4.8000000000000005e-12,0.5828805972382951,1,0.0,2,0.00013184547424316406,0.5828805972430952
3,3,0,4825909.232856897,4.8000000000000005e-12,0.37523898239718423,0,0.0,3,0.00012803077697753906,0.3752389824019842
3,3,0,2967177.3976542917,4.8000000000000005e-12,0.22398454718607344,0,0.0,4,0.00012445449829101562,0.22398454719087343
