P_max,C_mean,C_std,C_smoothed
0.1,0.9637679868675404,0.4116566898831901,0.8901236651299324
0.395,0.892006421413299,0.3022883267897606,0.8788854409570666
0.69,0.7336470492881316,0.45950154151643413,0.8633984150693128
0.985,0.957966522884804,0.3695115256359969,0.8520955892916005
1.28,0.7787900392227645,0.38152393745272706,0.8498172457059294
1.575,0.7277752409181705,0.4350777496665208,0.8561321514373667
1.87,1.0446512070866856,0.32365060715570143,0.8664156249383841
2.165,0.8655537904657103,0.44442987655772426,0.8756694833524112
2.46,0.7881105401672736,0.4301180820603357,0.881467383804039
2.755,0.9162502204476034,0.34699306839448874,0.8819934247285396
3.05,0.9818397067426765,0.40584554432412034,0.8740005706732538
3.345,0.8984174093561723,0.371078020988785,0.8564337934760091
3.64,0.7008464347489873,0.3914758891592759,0.8342620681025716
3.935,0.8715726766105634,0.3658387731250407,0.8152804920496632
4.23,0.7396093026940238,0.4473356746564698,0.8037145414260884
4.525,0.8080411430167862,0.40298031383143174,0.7986008470310939
4.82,0.8380367818616083,0.3015628931628404,0.7973506964189186
5.115,0.7605336195128192,0.36595552611634136,0.799129707233754
5.41,0.7578048056216811,0.27781474264518013,0.8043473405727442
5.705,0.8479058651984344,0.3823462976927167,0.811673851147362
6.0,0.8348340658210164,0.38557028944785704,0.8171684974007118
