V,C_mean,C_std,C_smoothed
100.0,0.635805416924146,0.4300105725382376,0.7305801295635386
155.0,0.6248056543637069,0.32775598311366844,0.7606657270994572
210.0,0.9762438043893326,0.4427857657496482,0.8056314409775978
265.0,0.8674228395101007,0.4292718000347105,0.8454561770095432
320.0,0.9001483760315807,0.4122768300827057,0.8668883209920475
375.0,0.9550471516049484,0.38895851343035376,0.8679871297705719
430.0,0.8176693971147098,0.29421637022382374,0.8558296217853512
485.0,0.8498328371434013,0.3659862203226079,0.8413287747221619
540.0,0.7205962240114311,0.3631785418393092,0.8332622267931573
595.0,0.856385994759499,0.3686654340991424,0.8340174027655229
650.0,0.9059358666554835,0.3605368565621467,0.8404124867128253
705.0,0.7921929736370985,0.37264219569455637,0.8481770811447176
760.0,0.8361760466122684,0.39770499770282525,0.8546630310707989
815.0,0.9366951908530744,0.41445377539068334,0.8583245098446468
870.0,0.8703507235489217,0.3871664991728617,0.8582177451524924
925.0,0.7286818884316535,0.3542378754657757,0.8542627635990607
980.0,1.038358186501422,0.3932614542019373,0.8475734393111097
1035.0,0.7533547494023985,0.3705747910128762,0.841493218241027
1090.0,0.782223140266866,0.35340868651235235,0.8408308798426801
1145.0,0.7838077482122535,0.32915056355087907,0.8467961434348189
1200.0,0.9541595715266447,0.3377166801283328,0.8534955316678159
