weights_E,C_mean,C_std,C_smoothed
0.0,0.9091079590465728,0.3770942959486593,0.8669445954302579
0.05,0.7990383617977057,0.4248291190617467,0.8696727790685368
0.1,0.8657500710511098,0.30737357374702695,0.8765516932799018
0.15,0.891545638528061,0.41797921813541433,0.8870171906474034
0.2,0.8914324827968885,0.5008771148081522,0.8967858251326479
0.25,1.000538372298252,0.31850897680700513,0.9002090191870215
0.3,0.8407537748259098,0.3369007906878202,0.8938496211451215
0.35,0.9111288051354745,0.48120127354401426,0.8785119364079685
0.4,0.9592774732531264,0.4418119141732623,0.8598291580164921
0.45,0.6662441468201511,0.35924462697274573,0.8467271840374455
0.5,0.7913753704494545,0.4196201370825957,0.8459822334079021
0.55,0.9561491557493806,0.3986831421647503,0.8563335825660578
0.6,0.7861292092958577,0.3197931305747334,0.8689103354614864
0.65,1.0059551115917187,0.318748834124736,0.8740208001629435
0.7,0.8859121359430775,0.3099006973272609,0.8680220656371983
0.75,0.8197848947589247,0.4035783173600935,0.8550903071624936
0.8,0.8207959017847031,0.30761299365284045,0.842679108677679
0.85,0.757868146618794,0.43820063362033457,0.834506787693777
0.9,0.9311986665100485,0.36215818519006276,0.8283587051089325
0.95,0.8633309043329798,0.4854712991725255,0.821425193814539
1.0,0.7338944263196604,0.37892497263290004,0.8157828868620464
